provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE,Model
47,SK,40,Therapy and assessment professionals [312],-0.12727854999122923,4.786700342391065,0.7685000169277191,1.0703387353507938,1.1456250083923365,2.3649999999999998,0.45257451811872895,0.3249471530349764,32.042501229343664,XGB
46,MB,60,Occupations in front-line public protection services [421],-0.12830202642070865,4.573390297664729,0.8604999804496766,1.0226411593216334,1.0457949407386942,5.025,0.20351067847196683,0.17124377720391573,16.069532901201676,XGB
46,MB,58,"Health occupations, except management [31-33]",-0.12893974852570467,17.110067145052017,3.4465004348754875,3.8259273235922064,14.637719885409425,66.11,0.05787214224160046,0.05213281553283146,5.24185437209523,XGB
10,NL,56,Occupations in sales and services [63],-0.1330942934260384,4.298860474431796,0.7550000286102294,0.9612544246616495,0.9240100689315988,6.805,0.14125707930369574,0.11094783668041579,11.49347222725001,XGB
12,NS,36,"Trades, transport and equipment operators and related occupations, except management [72-75]",-0.1344265214171072,20.873829971803218,3.756500320434571,4.667530276772451,21.78583888458752,78.065,0.0597903064980779,0.04812016038473799,4.768080747295491,XGB
47,SK,7,Retail sales and service supervisors and specialized occupations in sales and services [62],-0.1423146987688919,9.731988301694896,1.6989999771118156,2.1761387398822523,4.735579815216316,21.279999999999998,0.10226215882905322,0.0798402244883372,7.665431075637476,XGB
48,AB,34,General trades [73],-0.14235200060908726,41.82228026921296,6.545999679565431,9.351746165600838,87.45515634582998,116.37,0.08036217380425228,0.05625160848642632,5.478574315484515,XGB
46,MB,46,Sales and service support occupations [65],-0.1458730715313432,19.24287686726747,3.806999473571777,4.302838075786827,18.51441550644088,62.794999999999995,0.06852198544130628,0.060625837623565215,6.008899464461841,XGB
24,QC,60,Occupations in front-line public protection services [421],-0.14622615051500998,19.228561991437413,3.414000072479248,4.299637172242279,18.486879812927576,27.355,0.1571792057116534,0.1248035120628495,11.82580485844625,XGB
46,MB,7,Retail sales and service supervisors and specialized occupations in sales and services [62],-0.14709074792774457,8.939547987825227,1.6055002403259278,1.9989436988898672,3.995775911331504,20.560000000000002,0.09722488807830093,0.07808853308978247,7.969784380720671,XGB
47,SK,25,"Occupations in manufacturing and utilities, except management [92-95]",-0.1492051212864962,6.596999161976573,1.2389999961853027,1.4751338573688764,2.1760198971559803,17.549999999999997,0.08405321124608983,0.07059829038092894,6.940795312371748,XGB
