provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE,Model
24,QC,36,"Trades, transport and equipment operators and related occupations, except management [72-75]",0.2014775537008039,91.23212646869521,18.493499999999994,20.400123651586032,416.16504499999985,701.275,0.02909004834278426,0.026371252361769626,2.6237024335713,LGBM
48,AB,36,"Trades, transport and equipment operators and related occupations, except management [72-75]",0.19952416148921182,52.63380282670063,8.938999999999998,11.76927610348232,138.51585999999998,443.09000000000003,0.02656181837433099,0.02017423096887765,2.018800875208071,LGBM
10,NL,32,"Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]",0.19568994043679677,3.118092365533773,0.5304999999999999,0.6972266489456639,0.4861250000000001,2.94,0.23715192141008976,0.18044217687074826,18.84143261493964,LGBM
47,SK,7,Retail sales and service supervisors and specialized occupations in sales and services [62],0.1936884890003866,8.176362271817457,1.406499999999999,1.8282901848448445,3.342644999999996,21.279999999999998,0.0859158921449645,0.06609492481203004,6.33998578286495,LGBM
13,NB,42,"Occupations in art, culture, recreation and sport, except management [51-55]",0.19162891427813755,4.276657573386019,0.623,0.9562897050580434,0.9144899999999998,6.565,0.14566484463945825,0.0948971820258949,9.359437549874691,LGBM
48,AB,54,Assisting occupations in support of health services [33],0.1891698744310223,16.74725649173619,3.0729999999999995,3.744800395214677,14.023530000000003,49.565,0.07555332180398824,0.061999394734187425,6.421796798521573,LGBM
47,SK,1,Professional occupations in health [31],0.1887257165562345,12.291871297731685,2.2335000000000003,2.7485459792406606,7.554505000000001,26.310000000000002,0.10446773011176969,0.08489167616875713,8.116129099588823,LGBM
59,BC,43,Technical occupations related to natural and applied sciences [22],0.18488396885489167,23.90678773905018,4.511499999999998,5.345720250817471,28.576725,75.445,0.07085585858330534,0.05979852872953805,5.935453573761372,LGBM
48,AB,51,Professional occupations in law [411],0.1842531857654257,16.833368646827644,3.0645,3.7640556584620266,14.168115,14.735,0.25544999378771815,0.20797421106209704,19.252157587700605,LGBM
10,NL,13,Technical trades and transportation officers and controllers [72],0.18315295815295873,7.371784044585134,1.3659999999999992,1.64838102391407,2.7171599999999976,23.46,0.07026347075507544,0.05822676896845691,5.803433497657484,LGBM
13,NB,18,"Natural and applied sciences and related occupations, except management [21-22]",0.1773857344479428,7.785679161126534,1.4109999999999996,1.7409307855282468,3.0308399999999986,28.339999999999996,0.06143016180410187,0.049788285109386016,5.100191375367125,LGBM
48,AB,8,Professional occupations in finance [111],0.17680404461543453,22.752933876755325,4.578000000000001,5.087710683598273,25.884800000000002,56.46500000000001,0.09010379320992246,0.08107677322235013,8.117406055544064,LGBM
46,MB,52,"Professional occupations in law, education, social, community and government services [41]",0.17419540581305293,12.730377056474016,2.2075000000000005,2.846598847747958,8.103125000000002,53.04,0.05366890738589664,0.04161953242835597,4.161384982367135,LGBM
35,ON,52,"Professional occupations in law, education, social, community and government services [41]",0.17331336417548315,116.4775042658452,19.883999999999986,26.04516173879516,678.3504499999993,601.8599999999999,0.04327445209649281,0.03303758349117733,3.3944616094049564,LGBM
48,AB,41,"Total, all occupations [00-95]",0.17224726035717242,161.5534453362106,29.813499999999976,36.12444857710633,1304.9757849999992,2547.85,0.014178404763665966,0.011701434542849845,1.1632356859594313,LGBM
35,ON,24,Administrative and financial support and supply chain logistics occupations [14],0.16760455426612975,77.21877686158983,13.542500000000004,17.266643420190274,298.13697500000006,329.95500000000004,0.05233029782906842,0.041043475625464086,4.080886018546435,LGBM
46,MB,38,Professional occupations in natural sciences [211],0.15860259773497976,5.128391560713749,0.842,1.1467432144992182,1.31502,3.1900000000000004,0.3594806315044571,0.26394984326018806,23.875052111108037,LGBM
13,NB,21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",0.15836943069306908,3.2985754500996336,0.596,0.7375838935334746,0.5440300000000001,4.34,0.1699502058832891,0.13732718894009216,14.974182977878018,LGBM
11,PE,21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",0.1521226415094341,1.695877354056006,0.33599999999999997,0.3792097045171708,0.14379999999999998,0.8800000000000001,0.4309201187695122,0.3818181818181817,47.07581373305057,LGBM
48,AB,13,Technical trades and transportation officers and controllers [72],0.15192962113029196,42.605996056893225,7.797500000000002,9.526990343230125,90.76354500000004,229.87999999999997,0.041443319746085464,0.033919871237167235,3.4561542736989392,LGBM
46,MB,40,Therapy and assessment professionals [312],0.15152706859915632,3.6574034505370063,0.694,0.8178202736543037,0.66883,3.6350000000000002,0.22498494460916194,0.19092159559834934,18.426620289342655,LGBM
59,BC,44,"Technical occupations in art, culture and sport [52]",0.14555145434905237,19.76751628303364,3.6655000000000015,4.4201510155197195,19.53773500000001,34.09,0.1296612207544652,0.10752420064535058,10.828005195531107,LGBM
59,BC,55,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]",0.13994280511419765,5.790785784330137,1.2000000000000004,1.2948590656901624,1.6766600000000005,13.655000000000001,0.09482673494618545,0.08787989747345297,8.964691382992095,LGBM
35,ON,23,Technical occupations in health [32],0.13759220841207986,42.01528888392891,7.803500000000001,9.394904203875631,88.264225,137.66499999999996,0.06824468240929528,0.05668470562597613,5.796699804469241,LGBM
46,MB,44,"Technical occupations in art, culture and sport [52]",0.13576025202617215,4.006057912711697,0.6564999999999998,0.8957817814624273,0.8024249999999997,4.255,0.21052450798176905,0.15428907168037598,15.363551641848797,LGBM
13,NB,34,General trades [73],0.12752695509758438,7.9953799159264465,1.5485,1.7878212997948089,3.1963049999999997,18.25,0.09796281094766075,0.08484931506849315,8.45019540268194,LGBM
47,SK,12,Professional occupations in natural and applied sciences [21],0.1269111738822185,6.228234099646542,1.1684999999999997,1.3926754826591867,1.9395449999999985,19.404999999999998,0.07176889887447498,0.060216439062097386,6.223174720430329,LGBM
35,ON,48,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",0.125538003988672,114.42757971747899,18.793000000000017,25.58678467490592,654.6835500000004,876.7299999999999,0.029184338023001292,0.02143533356905777,2.191427281306002,LGBM
24,QC,28,"Occupations in education, law and social, community and government services, except management [41-45]",0.11559813231945515,145.27013182344132,27.249000000000013,32.483388985757024,1055.170560000001,574.655,0.05652676646989416,0.047418016027007535,4.64539778344175,LGBM
12,NS,13,Technical trades and transportation officers and controllers [72],0.11356156655017369,10.636047198090086,1.9715000000000003,2.3782924546825606,5.656274999999999,39.79,0.05977110969295201,0.04954762503141494,4.898295980781474,LGBM
10,NL,15,Assisting occupations in education and in legal and public protection [43],0.11033714126497618,2.527053620325457,0.4520000000000001,0.5650663677834666,0.31930000000000003,2.0900000000000003,0.270366683149984,0.21626794258373208,22.340045602472305,LGBM
11,PE,50,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]",0.10002817695125399,2.5274493071078594,0.42899999999999994,0.5651548460377916,0.3194,3.41,0.16573455895536413,0.12580645161290321,13.408568330081133,LGBM
11,PE,29,Professional occupations in finance and business [11],0.09985351562500022,1.3577555008174336,0.2655,0.3036033596652053,0.09217499999999999,2.84,0.10690259143141032,0.09348591549295776,9.319305646810513,LGBM
12,NS,56,Occupations in sales and services [63],0.09380324776706095,7.561183769754574,1.2285,1.6907320899539344,2.858574999999999,17.845000000000006,0.09474542392568977,0.06884281311291676,7.4627091786670405,LGBM
10,NL,6,Nursing and allied health professionals [313],0.09219146482122298,2.8054767865730055,0.4814999999999999,0.627323680407491,0.39353499999999986,6.95,0.09026240005863179,0.06928057553956833,6.657840229670728,LGBM
12,NS,11,"Mail and message distribution, other transport equipment operators and related maintenance workers [74]",0.08908084829364782,4.265043962258772,0.781,0.953692822663566,0.90953,4.105,0.23232468274386503,0.1902557856272838,20.32509167836786,LGBM
24,QC,1,Professional occupations in health [31],0.08712795524648087,35.10486718391052,6.372499999999997,7.849686936432553,61.617584999999885,169.91999999999996,0.0461963685053705,0.03750294256120527,3.6819354643497846,LGBM
11,PE,43,Technical occupations related to natural and applied sciences [22],0.08436873747495,1.9118577352930841,0.3610000000000001,0.4275043859424134,0.18275999999999998,2.1800000000000006,0.19610292933138224,0.16559633027522935,16.239297706153028,LGBM
12,NS,19,Professional occupations in education services [412],0.08225357495461649,8.487685196801305,1.616,1.8979041071666396,3.6020399999999997,21.475,0.08837737402405772,0.07525029103608848,7.613045760681884,LGBM
59,BC,42,"Occupations in art, culture, recreation and sport, except management [51-55]",0.07622456132926547,42.82106841264006,8.2775,9.57508198398322,91.68219500000002,113.56500000000001,0.08431367044409122,0.07288777352177167,7.448571474775421,LGBM
10,NL,21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",0.07424266206247043,1.7172652678022695,0.30300000000000005,0.38399218742052554,0.14745000000000003,2.065,0.18595263313342641,0.14673123486682813,14.800810132880734,LGBM
12,NS,44,"Technical occupations in art, culture and sport [52]",0.07208674926006486,4.208729024301754,0.729,0.9411004197215087,0.88567,3.045,0.30906417724844293,0.23940886699507388,24.23052554954881,LGBM
48,AB,34,General trades [73],0.0709167405766411,37.71681852966924,6.250000000000002,8.433737012736408,71.12792000000005,116.37,0.07247346406063769,0.053708000343731216,5.356940415749397,LGBM
46,MB,23,Technical occupations in health [32],0.0707609315835882,6.692309018567508,1.2460000000000002,1.496445789195185,2.23935,12.375000000000002,0.12092491225819675,0.10068686868686869,10.811864190735536,LGBM
35,ON,47,"Support occupations in art, culture and sport [54-55]",0.06303659797166816,67.41906851922533,12.475,15.075362018870392,227.26654,79.945,0.18857166825780716,0.15604478078679093,15.358887153339865,LGBM
48,AB,30,Professional occupations in engineering [213],0.0625296680393157,35.003401263305825,5.6195,7.826998466845384,61.26190499999999,45.97,0.17026318178910996,0.12224276702197086,12.383559323105754,LGBM
35,ON,22,"Labourers in processing, manufacturing and utilities [95]",0.06204120811811342,26.43226059193575,4.572,5.910433148255717,34.93321999999999,55.625,0.1062549779461702,0.08219325842696629,8.606477113751406,LGBM
46,MB,35,Professional occupations in government services [414],0.061165225639342125,3.5870879554312576,0.6089999999999998,0.8020972509615028,0.6433599999999999,7.534999999999999,0.10644953562860024,0.08082282680822825,8.092002327888972,LGBM
59,BC,19,Professional occupations in education services [412],0.05747687290652126,40.30265872123078,6.7384999999999975,9.011948457464678,81.21521499999999,103.925,0.08671588604729062,0.06484002886697135,6.961779180801014,LGBM
46,MB,30,Professional occupations in engineering [213],0.05694636332934244,3.9189411835341432,0.6934999999999999,0.8763018886205824,0.7679049999999996,6.165000000000001,0.14214142556700443,0.11248986212489859,10.71326683722235,LGBM
10,NL,30,Professional occupations in engineering [213],0.05237575946409123,1.7439610087384407,0.3059999999999999,0.38996153656482574,0.15206999999999993,3.8949999999999996,0.10011849462511574,0.07856225930680358,8.144419839158575,LGBM
13,NB,57,Professional occupations in social and community services [413],0.05189140332083586,5.321832391197603,0.9445,1.1899978991578093,1.4160949999999997,5.619999999999999,0.2117433984266565,0.1680604982206406,16.442875614953252,LGBM
24,QC,9,Administrative occupations and transportation logistics occupations [13],0.05171924970455355,41.147161505989686,7.865499999999997,9.200785020855555,84.65444499999997,221.05,0.04162309441689914,0.0355824474100882,3.502713099008918,LGBM
11,PE,24,Administrative and financial support and supply chain logistics occupations [14],0.05073156805367218,2.5787787807409925,0.4805,0.5766324652670886,0.33250500000000005,3.4349999999999996,0.16786971332375214,0.1398835516739447,14.01324486471906,LGBM
47,SK,36,"Trades, transport and equipment operators and related occupations, except management [72-75]",0.04496315964155417,16.96327209001847,3.0089999999999977,3.793102951410623,14.387629999999978,104.6,0.03626293452591418,0.028766730401529616,2.908811092739852,LGBM
35,ON,42,"Occupations in art, culture, recreation and sport, except management [51-55]",0.04244569226616879,100.26266453670578,18.955499999999997,22.41941335093316,502.630095,259.16499999999996,0.08650633129833567,0.07314066328400826,7.046246054549254,LGBM
59,BC,38,Professional occupations in natural sciences [211],0.042257825595446996,13.574505515855817,2.2699999999999996,3.0353517094399454,9.21336,12.575,0.24137985760953842,0.18051689860834988,19.384005032186266,LGBM
12,NS,49,Administrative and financial supervisors and specialized administrative occupations [12],0.03383551654991013,8.613913164178056,1.5084999999999997,1.926129538738244,3.709975000000001,17.689999999999998,0.10888239337129701,0.08527416619559072,8.103327600494827,LGBM
10,NL,59,Sales and service representatives and other customer and personal services occupations [64],0.02497812773403363,4.721122747821751,0.8189999999999997,1.055675139425003,1.1144499999999995,15.6,0.06767148329647456,0.052499999999999984,5.302659531323874,LGBM
11,PE,58,"Health occupations, except management [31-33]",0.019594907407407547,2.910446701109643,0.49049999999999994,0.6507956668571174,0.4235350000000001,8.600000000000001,0.07567391475082759,0.05703488372093021,5.558622925811666,LGBM
46,MB,28,"Occupations in education, law and social, community and government services, except management [41-45]",0.018906287809372313,28.081825083138728,4.299499999999996,6.279286981815688,39.42944499999997,95.46499999999999,0.06577580245970449,0.04503744827947411,4.811610061557381,LGBM
35,ON,41,"Total, all occupations [00-95]",0.01840866792151219,378.8173887244351,62.50499999999979,84.70614322467992,7175.130699999987,8188.839999999998,0.010344095528143173,0.007632949233346824,0.7618497395059286,LGBM
13,NB,48,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",0.016322247155886593,6.637356401459851,1.1275000000000006,1.484158010455761,2.2027250000000027,30.715000000000003,0.04832029986833016,0.0367084486407293,3.6373690286406553,LGBM
35,ON,45,Legislative and senior management occupations [0],0.014791756370402198,37.22161468824264,6.883000000000001,8.323006067521519,69.27243000000001,22.604999999999997,0.3681931460969484,0.3044901570449017,37.34159364702355,LGBM
59,BC,20,Professional occupations in art and culture [51],0.00611296289932739,14.728316264936735,2.3195000000000006,3.293351636251434,10.846165,28.875,0.11405546792212759,0.08032900432900435,8.474014595457312,LGBM
47,SK,54,Assisting occupations in support of health services [33],0.0038589173415101152,11.154528228481919,1.7794999999999999,2.494228337582588,6.221175000000001,17.865,0.13961535614791987,0.09960817240414217,9.397334463963851,LGBM
48,AB,9,Administrative occupations and transportation logistics occupations [13],0.0030885662969545313,30.916028205447073,5.290999999999997,6.9130340661680485,47.79003999999995,78.53,0.0880304860074882,0.06737552527696418,7.088626000481304,LGBM
11,PE,30,Professional occupations in engineering [213],0.00224806201550376,1.1345042970390198,0.19750000000000004,0.25368287289448616,0.06435500000000001,0.7499999999999999,0.3382438305259816,0.2633333333333334,27.475072150072155,LGBM
47,SK,56,Occupations in sales and services [63],0.0015989383919253752,6.774547955398942,1.2514999999999998,1.5148349745104246,2.294724999999999,17.56,0.08626622861676678,0.07126993166287016,7.190832796439805,LGBM
59,BC,7,Retail sales and service supervisors and specialized occupations in sales and services [62],0.0015219496134692978,33.94732537328972,6.0855,7.590852718897924,57.621045,100.575,0.07547454853490354,0.06050708426547352,6.237789176885489,LGBM
11,PE,59,Sales and service representatives and other customer and personal services occupations [64],-0.004186343331205933,1.9834061611278713,0.3995,0.4435031003273821,0.19669499999999998,5.125,0.08653719030778187,0.07795121951219512,8.006789189608657,LGBM
