provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE
12,NS,55,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]",-0.05553470816127626,5.5383967553044355,0.9299027249263916,1.2085772552323994,1.4606589818650806,4.4,0.2746766489164544,0.2113415283923617,20.188369359626147
13,NB,58,"Health occupations, except management [31-33]",-0.059684857916622924,7.199213970209872,1.2468595749272904,1.5709972839366806,2.4680324661364272,38.16190476190476,0.041166637088433114,0.03267288629083242,3.242190622892839
11,PE,16,Professional occupations in applied sciences (except engineering) [212],-0.05977034979370388,2.207470271342505,0.39873709689303094,0.4817095053710351,0.2320440475648073,2.1095238095238096,0.22834987839259,0.18901758543461963,19.56911145801452
13,NB,51,Professional occupations in law [411],-0.059955727244559,3.21686125638671,0.5197744028020586,0.7019766765506116,0.49277125442104197,2.1285714285714286,0.3297877003929048,0.24418931675264496,22.360572265320908
46,MB,19,Professional occupations in education services [412],-0.06317208127430773,17.033664792075555,2.953687948971858,3.7170503939138317,13.81646363089497,33.01428571428571,0.11258915083252628,0.08946696513545221,9.512615620087034
59,BC,50,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]",-0.06375793896387028,29.909105218757027,5.367659257613014,6.526701839683468,42.59783690412756,86.50952380952381,0.07544489383682106,0.06204703275712737,6.120488964723196
46,MB,4,"Helpers and labourers and other transport drivers, operators and labourers [75]",-0.06680495083651139,9.713197096865217,1.5390982549516854,2.1195933779242937,4.492676087740518,21.523809523809526,0.09847668348763311,0.07150677733182609,7.445028855475424
10,NL,29,Professional occupations in finance and business [11],-0.06706527906522819,3.165317494991479,0.6032638694337036,0.6907289056841169,0.4771064211475777,5.738095238095238,0.12037599186196228,0.10513312247392345,10.814487969602817
10,NL,55,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]",-0.06812131061211835,4.798610313415245,0.7299159650667929,1.047142618658149,1.0965076638102456,7.223809523809523,0.14495711926052163,0.101043080200413,10.16642944455935
35,ON,20,Professional occupations in art and culture [51],-0.06850427482115928,40.11786651538042,6.467096990964352,8.75443619175548,76.64015303551817,75.00952380952381,0.11671099544620686,0.08621701168756436,8.018636385168927
24,QC,20,Professional occupations in art and culture [51],-0.07155905183702349,18.705989321975835,3.050544671347088,4.081981524618569,16.662573167327338,43.26666666666667,0.09434471936714718,0.0705056549617971,7.500870135359025
35,ON,59,Sales and service representatives and other customer and personal services occupations [64],-0.07535024436676774,72.07282892514934,12.907096760545297,15.727580671385697,247.35679377494495,535.8190476190475,0.029352410559632756,0.02408853663918623,2.41727095111392
